X Position,Y Position,Mass Density,Convergence Field
-5.0,-5.0,1.3887943864964021e-11,7.31944886644964e-16
-4.96078431372549,-5.0,1.688339529949318e-11,1.857865763264252e-14
-4.921568627450981,-5.0,2.049338679172629e-11,2.4802372734597123e-15
-4.882352941176471,-5.0,2.4837037702507767e-11,1.4671896353675237e-15
-4.8431372549019605,-5.0,3.005508549240381e-11,4.420234773052396e-16
-4.803921568627451,-5.0,3.6313511773102064e-11,1.534964329974124e-15
-4.764705882352941,-5.0,4.380771937377909e-11,3.363988194771019e-16
-4.7254901960784315,-5.0,5.276733369922365e-11,6.800387408773852e-16
-4.686274509803922,-5.0,6.346170958177213e-11,3.6569236527799897e-16
-4.647058823529412,-5.0,7.620623330556179e-11,1.829106362546965e-15
-4.607843137254902,-5.0,9.136951849456891e-11,2.081193585582815e-15
-4.568627450980392,-5.0,1.0938160407866352e-10,3.7082245563687337e-16
-4.529411764705882,-5.0,1.3074327254368442e-10,2.9147039558734156e-15
-4.490196078431373,-5.0,1.5603661707540505e-10,3.3163745563352787e-15
-4.450980392156863,-5.0,1.8593699694792138e-10,3.8760681256156565e-15
-4.411764705882353,-5.0,2.2122653148857523e-10,2.004923189239171e-16
-4.372549019607844,-5.0,2.6280929405515544e-10,1.6299464263235998e-15
-4.333333333333333,-5.0,3.117283785428033e-10,7.674567816961706e-16
-4.294117647058823,-5.0,3.691850218261814e-10,9.292199114634732e-16
-4.254901960784314,-5.0,4.3655997603611944e-10,1.465237018910219e-15
-4.215686274509804,-5.0,5.154373344362437e-10,1.3750153260506196e-15
-4.176470588235294,-5.0,6.076310236386867e-10,3.120583472173555e-16
-4.137254901960784,-5.0,7.152141826781889e-10,1.2352833172736624e-15
-4.098039215686274,-5.0,8.405516557155022e-10,1.1523079947173223e-15
-4.0588235294117645,-5.0,9.86335829492831e-10,4.7349966246632625e-15
-4.019607843137255,-5.0,1.1556260487092364e-09,1.6112478704082796e-15
-3.980392156862745,-5.0,1.3518918417825783e-09,2.386316164650271e-15
-3.9411764705882355,-5.0,1.5790601855431837e-09,1.0518410357952747e-15
-3.9019607843137254,-5.0,1.8415670297617222e-09,6.69727491311499e-16
-3.8627450980392157,-5.0,2.144413290522387e-09,8.089776315867092e-16
-3.8235294117647056,-5.0,2.4932255047660756e-09,2.3536323051497506e-15
-3.784313725490196,-5.0,2.894321316286771e-09,2.875494903768342e-15
-3.7450980392156863,-5.0,3.3547799355034268e-09,3.2981293378415112e-15
-3.7058823529411766,-5.0,3.882517680888145e-09,2.608530520915904e-16
-3.666666666666667,-5.0,4.486368668465139e-09,1.4653112148072717e-15
-3.627450980392157,-5.0,5.1761706667852145e-09,1.3751488378877305e-15
-3.588235294117647,-5.0,5.96285607775315e-09,6.878486694784477e-16
-3.549019607843137,-5.0,6.8585479382195214e-09,1.8354909651948506e-15
-3.5098039215686274,-5.0,7.876660763000469e-09,8.803349915032052e-16
-3.4705882352941178,-5.0,9.03200596670448e-09,1.2754143153805155e-15
-3.431372549019608,-5.0,1.0340901509278518e-08,1.0572038054548038e-15
-3.392156862745098,-5.0,1.1821285308524618e-08,1.857884497740791e-15
-3.3529411764705883,-5.0,1.3492831852115272e-08,8.959996215222278e-16
-3.313725490196078,-5.0,1.5377071322154862e-08,2.4604948424799494e-16
-3.2745098039215685,-5.0,1.749751041758802e-08,1.9459136020890964e-15
-3.235294117647059,-5.0,1.987975392444078e-08,1.8289105793250158e-15
-3.196078431372549,-5.0,2.2551625941922924e-08,2.2754354661531827e-15
-3.1568627450980395,-5.0,2.5543289524976716e-08,2.6287545054896573e-15
-3.1176470588235294,-5.0,2.888736335234942e-08,3.684514035019768e-15
-3.0784313725490193,-5.0,3.261903387536018e-08,1.1378547916598305e-15
-3.0392156862745097,-5.0,3.677616124818118e-08,2.6405670507149154e-15
-3.0,-5.0,4.139937718785167e-08,1.9767811135868262e-15
-2.9607843137254903,-5.0,4.653217276388502e-08,1.979060718098712e-15
-2.9215686274509802,-5.0,5.222097397592327e-08,2.298547767352724e-15
-2.8823529411764706,-5.0,5.851520284642347e-08,1.5706580477482414e-15
-2.843137254901961,-5.0,6.546732163699878e-08,2.5869553094467377e-15
-2.803921568627451,-5.0,7.313285769515382e-08,1.190316091441789e-15
-2.764705882352941,-5.0,8.157040635627808e-08,1.3061321491574818e-15
-2.7254901960784315,-5.0,9.084160926749429e-08,4.989918758592872e-16
-2.686274509803922,-5.0,1.0101110546900094e-07,9.762373959184261e-16
