Frequency (Hz),Total SGWB,Polarized SGWB
9.999999999999999e-05,9.900498337491682e-14,2.9701495012475044e-14
0.00010280732238308646,9.495089496834507e-14,2.848526849050352e-14
0.00010569345535579884,9.10620970298308e-14,2.7318629108949237e-14
0.00010866061138545968,8.73318606603213e-14,2.6199558198096386e-14
0.00011171106505048242,8.375373075661235e-14,2.5126119226983704e-14
0.0001148471547840289,8.032151487263765e-14,2.4096454461791295e-14
0.00011807128466661904,7.702927253388143e-14,2.3108781760164427e-14
0.00012138592626906277,7.387130498648576e-14,2.2161391495945727e-14
0.00012479362054713115,7.084214536336509e-14,2.1252643609009525e-14
0.00012829697978941474,6.793654925036893e-14,2.038096477511068e-14
0.00013189868961986705,6.514948563621401e-14,1.9544845690864205e-14
0.00013560151105656334,6.247612823057938e-14,1.8742838469173813e-14
0.00013940828262825784,5.99118471353831e-14,1.7973554140614932e-14
0.0001433219225503574,5.745220085487722e-14,1.7235660256463167e-14
0.00014734543096198358,5.509292863077468e-14,1.6527878589232402e-14
0.00015148189222583458,5.2829943089189085e-14,1.5848982926756726e-14
0.0001557344772926135,5.065932318670005e-14,1.5197796956010014e-14
0.00016010644613183178,4.8577307443378204e-14,1.457319223301346e-14
0.00016460115023085497,4.658028745109476e-14,1.3974086235328428e-14
0.0001692220351641037,4.466480164591797e-14,1.339944049377539e-14
0.0001739726432343801,4.282752933385377e-14,1.284825880015613e-14
0.0001788566161883462,4.106528495962338e-14,1.2319585487887013e-14
0.0001838776980082327,3.9375012608592974e-14,1.1812503782577891e-14
0.00018903973778192212,3.7753780732369e-14,1.13261342197107e-14
0.000194346692653602,3.6198777088962355e-14,1.0859633126688706e-14
0.00019980263085725506,3.470730388879087e-14,1.041219116663726e-14
0.00020541173483530642,3.327677313814863e-14,9.983031941444588e-15
0.00021117830444482443,3.190470217210717e-14,9.571410651632152e-15
0.0002171067602537265,3.058870936914464e-14,9.17661281074339e-15
0.00022320164692952345,2.9326510040108014e-14,8.797953012032404e-15
0.0002294676367231936,2.8115912484418733e-14,8.43477374532562e-15
0.00023590953305086364,2.6954814206716285e-14,8.086444262014885e-15
0.0002425322741760353,2.5841198287414872e-14,7.752359486224461e-15
0.00024934093699518806,2.4773129900910418e-14,7.431938970273125e-15
0.0002563407409296515,2.3748752975433023e-14,7.124625892629907e-15
0.00026353705192673927,2.2766286988781265e-14,6.8298860966343795e-15
0.0002709353865732052,2.1824023894411747e-14,6.547207168323524e-15
0.0002785414163241769,2.0920325172580658e-14,6.276097551774197e-15
0.00028636097185081157,2.0053619001449916e-14,6.016085700434974e-15
0.00029440004751000336,1.9222397543278042e-14,5.766719262983412e-15
0.0003026648059395692,1.8425214341014226e-14,5.527564302304268e-15
0.000311161582782436,1.7660681820803995e-14,5.2982045462411984e-15
0.00031989689154345377,1.6927468896097948e-14,5.078240668829384e-15
0.000328877428582551,1.622429866923088e-14,4.8672896007692636e-15
0.00033811007824806853,1.5549946226505238e-14,4.664983867951572e-15
0.00034760191815419775,1.490323652297614e-14,4.4709709568928425e-15
0.00035736022460657887,1.428304235328781e-14,4.2849127059863435e-15
0.0003673924781802074,1.36882824050618e-14,4.1064847215185395e-15
0.0003777063694539368,1.3117919391477806e-14,3.935375817443342e-15
0.0003883098049059605,1.2570958259826302e-14,3.771287477947891e-15
0.00039921091297480534,1.2046444472941717e-14,3.613933341882515e-15
0.0004104180502904709,1.1543462360551815e-14,3.4630387081655444e-15
0.0004219398080805024,1.1061133537698634e-14,3.31834006130959e-15
0.00043378501875589886,1.0598615387502708e-14,3.179584616250812e-15
0.00044596276268190954,1.0155099605652996e-14,3.0465298816958985e-15
0.0004584823751389096,9.729810804111216e-15,2.9189432412333646e-15
0.0004713534534786907,9.32200517162189e-15,2.7966015514865672e-15
0.00048458586448164956,8.930969188717134e-15,2.6792907566151403e-15
0.0004981897519205165,8.556018394999211e-15,2.5668055184997633e-15
0.000512175544336424,8.196496206574102e-15,2.4589488619722304e-15
0.0005265539630332755,7.851772781595833e-15,2.35553183447875e-15
0.0005413360302965381,7.521243931964501e-15,2.2563731795893504e-15
0.0005565330778427646,7.204330079300197e-15,2.161299023790059e-15
0.0005721567555063251,6.900475253391552e-15,2.0701425760174654e-15
0.0005882190401699955,6.609146131391229e-15,1.9827438394173687e-15
0.0006047322449462648,6.32983111610028e-15,1.898949334830084e-15
0.0006217090286163827,6.062039451751533e-15,1.8186118355254597e-15
0.0006391624053344006,5.8053003757660895e-15,1.7415901127298267e-15
0.000657105754603627,5.559162305019766e-15,1.6677486915059297e-15
0.0006755528315331639,5.323192055215222e-15,1.5969576165645664e-15
0.0006945177773823697,5.096974092013151e-15,1.5290922276039452e-15
0.0007140151304013404,4.880109812630387e-15,1.464032943789116e-15
0.0007340598369757212,4.672216856665354e-15,1.401665056999606e-15
0.0007546672630843886,4.472928444961874e-15,1.3418785334885621e-15
0.0007758532060787836,4.2818927453706054e-15,1.2845678236111817e-15
0.0007976339067929281,4.0987722643137925e-15,1.2296316792941376e-15
0.0008200260619934131,3.92324326310348e-15,1.1769729789310441e-15
0.0008430468371788967,3.754995198006161e-15,1.1264985594018483e-15
0.0008667138797389233,3.593730183087748e-15,1.0781190549263242e-15
0.0008910453324821513,3.4391624749120112e-15,1.0317487424736034e-15
