Mass (Solar Masses),Curvature-Modified Black Hole Cross-Section (m²),Projected White Hole Distance (m),Quantum Gravity White Hole Projection (m)
10.0,3015787598.90264,59082.5311011081,102031.91652732644
20.0,12063150395.61056,118165.0622022162,265493.1678342704
30.0,27142088390.123764,177247.5933033243,452140.53768688894
40.0,48252601582.44224,236330.1244044324,653845.0052277759
50.0,75394689972.56602,295412.65550554055,866745.8283242207
60.0,108568353560.49506,354495.1866066486,1088569.0797126305
70.0,147773592346.22934,413577.7177077567,1317812.2244242777
80.0,193010406329.76895,472660.2488088648,1553407.349574022
90.00000000000001,244278795511.1139,531742.7799099729,1794555.9773753954
100.0,301578759890.2641,590825.3110110811,2040638.330546529
