Mass (Solar Masses),Classical Cross-Section (m²),Entropy-Corrected Cross-Section (m²)
10.0,2741625089.9114904,10966500359.645962
20.0,10966500359.645962,43866001438.58385
30.0,24674625809.20342,98698503236.81367
40.0,43866001438.58385,175464005754.3354
50.0,68540627247.787285,274162508991.14914
60.0,98698503236.81367,394794012947.2547
70.0,134339629405.66302,537358517622.6521
80.0,175464005754.3354,701856023017.3416
90.00000000000001,222071632282.83078,888286529131.3231
100.0,274162508991.14914,1096650035964.5966
