Frequency (Hz),SGWB Anisotropy,CMB B-mode Correlation,Cross-Correlation
9.999999999999999e-05,4.950249168745842e-15,6.448781795164106e-18,3.192307672093443e-32
0.00010280732238308646,4.747544748417254e-15,6.044572215635697e-18,2.8696877078770095e-32
0.00010569345535579884,4.55310485149154e-15,5.664210293934643e-18,2.5789743369182147e-32
0.00010866061138545968,4.366593033016065e-15,5.306349784357926e-18,2.3170669999123622e-32
0.00011171106505048242,4.187686537830618e-15,4.9697185527087475e-18,2.0811623479985486e-32
0.0001148471547840289,4.016075743631883e-15,4.653114540384805e-18,1.8687260437980233e-32
0.00011807128466661904,3.8514636266940715e-15,4.355401947151445e-18,1.6774672179086327e-32
0.00012138592626906277,3.693565249324288e-15,4.0755076207899995e-18,1.505315332150625e-32
0.00012479362054713115,3.5421072681682547e-15,3.812417642447951e-18,1.350399224060777e-32
0.00012829697978941474,3.396827462518447e-15,3.565174097121011e-18,1.2110281281760058e-32
0.00013189868961986705,3.257474281810701e-15,3.3328720192667863e-18,1.0856744887328055e-32
0.00013560151105656334,3.123806411528969e-15,3.1146565040898375e-18,9.729583957186239e-33
0.00013940828262825784,2.9955923567691553e-15,2.9097199755476822e-18,8.71633491908917e-33
0.0001433219225503574,2.8726100427438613e-15,2.717299602610787e-18,7.80574212760365e-33
0.00014734543096198358,2.754646431538734e-15,2.536674855765828e-18,6.98764233940937e-33
0.00015148189222583458,2.6414971544594545e-15,2.3671651961841864e-18,6.252860129855985e-33
0.0001557344772926135,2.5329661593350026e-15,2.2081278903860266e-18,5.593113221831595e-33
0.00016010644613183178,2.4288653721689104e-15,2.0589559436175376e-18,5.0009267942740003e-33
0.00016460115023085497,2.3290143725547382e-15,1.9190761455244293e-18,4.469555924953344e-33
0.0001692220351641037,2.2332400822958984e-15,1.7879472220512594e-18,3.9929154013144774e-33
0.0001739726432343801,2.1413764666926888e-15,1.6650580878234684e-18,3.565516204941503e-33
0.0001788566161883462,2.053264247981169e-15,1.5499261935787895e-18,3.182408040284869e-33
0.0001838776980082327,1.968750630429649e-15,1.4420959635079097e-18,2.8391273372962493e-33
0.00018903973778192212,1.88768903661845e-15,1.341137317641277e-18,2.5316502111113147e-33
0.000194346692653602,1.809938854448118e-15,1.2466442746814466e-18,2.256349910421242e-33
0.00019980263085725506,1.7353651944395434e-15,1.1582336309281879e-18,2.0099583301421132e-33
0.00020541173483530642,1.6638386569074314e-15,1.0755437111785012e-18,1.789531203852472e-33
0.00021117830444482443,1.5952351086053588e-15,9.982331877054492e-19,1.5924166276027758e-33
0.0002171067602537265,1.529435468457232e-15,9.259799636299041e-19,1.416226599456313e-33
0.00022320164692952345,1.4663255020054007e-15,8.584801171977373e-19,1.2588112888116274e-33
0.0002294676367231936,1.4057956242209368e-15,7.954469036630506e-19,1.1182357764696096e-33
0.00023590953305086364,1.3477407103358143e-15,7.366098116555815e-19,9.927590308010238e-34
0.0002425322741760353,1.2920599143707438e-15,6.817136710786723e-19,8.808149074792747e-34
0.00024934093699518806,1.238656495045521e-15,6.305178097430308e-19,7.809949802800811e-34
0.0002563407409296515,1.1874376487716511e-15,5.827952560920482e-19,6.920330286092139e-34
0.00026353705192673927,1.1383143494390633e-15,5.383319855165245e-19,6.127910238754818e-34
0.0002709353865732052,1.0912011947205875e-15,4.9692620789131865e-19,5.422464717389779e-34
0.0002785414163241769,1.046016258629033e-15,4.583876940935982e-19,4.7948098077737526e-34
0.00028636097185081157,1.002680950072496e-15,4.2253713938273856e-19,4.2366994035719895e-34
0.00029440004751000336,9.611198771639022e-16,3.8920556163576893e-19,3.740732015908778e-34
0.0003026648059395692,9.212607170507113e-16,3.5823373253991484e-19,3.300266653114747e-34
0.000311161582782436,8.830340910401998e-16,3.294716399456166e-19,2.9093469010290154e-34
0.00031989689154345377,8.463734448048975e-16,3.0277797967972375e-19,2.5626324167259502e-34
0.000328877428582551,8.112149334615441e-16,2.7801967520970315e-19,2.255337123262394e-34
0.00033811007824806853,7.77497311325262e-16,2.550714236358393e-19,1.9831734607277194e-34
0.00034760191815419775,7.451618261488071e-16,2.3381526656998333e-19,1.7423021101875891e-34
0.00035736022460657887,7.141521176643906e-16,2.1414018453649257e-19,1.5292866626377955e-34
0.0003673924781802074,6.8441412025309e-16,1.9594171360402548e-19,1.3410527553718202e-34
0.0003777063694539368,6.558959695738903e-16,1.7912158302586346e-19,1.174851243703588e-34
0.0003883098049059605,6.285479129913151e-16,1.6358737273182517e-19,1.0282250172232108e-34
0.00039921091297480534,6.023222236470859e-16,1.4925218957664762e-19,8.989791071000281e-35
0.0004104180502904709,5.771731180275908e-16,1.3603436130829652e-19,7.851537647520136e-35
0.0004219398080805024,5.530566768849317e-16,1.2385714727507458e-19,6.850002228040033e-35
0.00043378501875589886,5.299307693751355e-16,1.1264846494292517e-19,5.969588769613231e-35
0.00044596276268190954,5.077549802826499e-16,1.0234063134404799e-19,5.196396525021103e-35
0.0004584823751389096,4.864905402055608e-16,9.287011862507315e-20,4.5180434178866355e-35
0.0004713534534786907,4.661002585810945e-16,8.41773229077149e-20,3.9235071973950206e-35
0.00048458586448164956,4.465484594358567e-16,7.62063457171814e-20,3.402982627924365e-35
0.0004981897519205165,4.278009197499606e-16,6.890478727379065e-20,2.9477531370903016e-35
0.000512175544336424,4.098248103287051e-16,6.222355098137419e-20,2.550075497892019e-35
