Black Hole Mass (kg),Schwarzschild Radius (m),Black Hole Cross-Section (m^2),Projected White Hole Distance (m)
9.999999999999999e+29,1485.2320538237327,6930084.013890095,2970.4641076474654
1.2915496650148827e+31,19182.509615854087,1156007686.641159,38365.019231708175
1.6681005372000558e+32,247751.6386850111,192833704309.35107,495503.2773700222
2.1544346900318954e+33,3199835.4595051697,32166600574871.05,6399670.919010339
2.7825594022071144e+34,41327464.15826612,5365712369884116.0,82654928.31653224
3.59381366380464e+35,533764724.89523596,8.950547686664818e+17,1067529449.7904719
4.641588833612753e+36,6893836516.3519745,1.4930413404360055e+20,13787673032.703949
5.994842503189421e+37,89037322433.61832,2.4905430620432333e+22,178074644867.23663
7.742636826811215e+38,1149961239629.6091,4.154476219714123e+24,2299922479259.2183
9.999999999999999e+39,14852320538237.33,6.930084013890098e+26,29704641076474.66
