,Time (s),Filtered Strain
1,1187008782.4001465,4.483918879185307e-21
2,1187008782.4003906,6.947081072496483e-21
3,1187008782.4006348,7.35741973353937e-21
4,1187008782.400879,5.913747691132663e-21
5,1187008782.401123,3.578064133119505e-21
10,1187008782.4023438,4.752932660610018e-21
11,1187008782.402588,5.2198551532140345e-21
12,1187008782.402832,4.355994450206007e-21
19,1187008782.404541,3.886422914027117e-21
404894,1187008881.2509766,3.5175755021746665e-21
404895,1187008881.2512207,3.4498982013619576e-21
404902,1187008881.2529297,3.4232131698789955e-21
404903,1187008881.2531738,3.631601204171127e-21
404911,1187008881.255127,3.5667928166963935e-21
404955,1187008881.2658691,-3.505583172198462e-21
404956,1187008881.2661133,-3.691620226671904e-21
404963,1187008881.2678225,-4.1431360535131655e-21
404964,1187008881.2680664,-4.441594446877224e-21
404965,1187008881.2683103,-3.729850119088852e-21
404971,1187008881.2697754,-3.980133773387088e-21
404972,1187008881.2700195,-4.6713991471498136e-21
404973,1187008881.2702637,-4.322517101800857e-21
404979,1187008881.2717285,-3.6497492183084655e-21
404980,1187008881.271973,-4.3104449712458496e-21
404981,1187008881.2722168,-4.002387151912068e-21
404988,1187008881.2739258,-4.026026380249564e-21
404989,1187008881.27417,-3.792167293014883e-21
405017,1187008881.281006,3.6902148552908034e-21
405018,1187008881.28125,3.48690122105669e-21
405024,1187008881.2827148,3.858709155635164e-21
405025,1187008881.282959,4.56555875543006e-21
405026,1187008881.2832031,4.26430656797161e-21
405032,1187008881.284668,4.369178477226873e-21
405033,1187008881.284912,5.2879692518654935e-21
405034,1187008881.2851562,5.1724355575414835e-21
405035,1187008881.2854004,4.115289154440732e-21
405040,1187008881.286621,3.966568087968314e-21
405041,1187008881.2868652,4.8741272255336385e-21
405042,1187008881.2871094,4.884774084067561e-21
405043,1187008881.2873535,4.001332790726453e-21
405048,1187008881.2885742,3.917931695375329e-21
405049,1187008881.2888184,4.8071793251259726e-21
405050,1187008881.2890625,4.786953680425881e-21
405051,1187008881.2893066,3.8102384337660616e-21
405057,1187008881.2907715,3.759931141005227e-21
405058,1187008881.2910156,3.872697836235985e-21
405086,1187008881.2978516,-3.988253414828965e-21
405087,1187008881.2980957,-4.0465629442332935e-21
405093,1187008881.2995603,-4.375296838552556e-21
405094,1187008881.2998047,-5.4163559317352666e-21
405095,1187008881.3000488,-5.5902552340213945e-21
405096,1187008881.300293,-4.8627405481677466e-21
405097,1187008881.300537,-3.683682278054376e-21
405101,1187008881.3015137,-4.409867420688865e-21
405102,1187008881.3017578,-5.434072052242521e-21
405103,1187008881.302002,-5.777589400779748e-21
405104,1187008881.302246,-5.308056615823541e-21
405105,1187008881.3024902,-4.357747199561027e-21
405106,1187008881.3027344,-3.52453657829902e-21
405108,1187008881.303223,-3.8945771941663044e-21
405109,1187008881.3034668,-4.912435095713911e-21
405110,1187008881.303711,-5.7799016432145145e-21
405111,1187008881.303955,-5.9638330492884885e-21
