Frequency (Hz),White Hole SGWB,LISA Sensitivity
9.999999999999999e-05,9.900498337491682e-14,1.0000000200000005e-32
0.00010280732238308646,9.495089496834507e-14,8.951664915991562e-33
0.00010569345535579884,9.10620970298308e-14,8.013230317913534e-33
0.00010866061138545968,8.73318606603213e-14,7.173175129160226e-33
0.00011171106505048242,8.375373075661235e-14,6.421185889197061e-33
0.0001148471547840289,8.032151487263765e-14,5.748030333941128e-33
0.00011807128466661904,7.702927253388143e-14,5.1454440501226736e-33
0.00012138592626906277,7.387130498648576e-14,4.6060290120701394e-33
0.00012479362054713115,7.084214536336509e-14,4.1231627552416046e-33
0.00012829697978941474,6.793654925036893e-14,3.690917071415702e-33
0.00013189868961986705,6.514948563621401e-14,3.303985227352159e-33
0.00013560151105656334,6.247612823057938e-14,2.9576168133772323e-33
0.00013940828262825784,5.99118471353831e-14,2.6475594220215053e-33
0.0001433219225503574,5.745220085487722e-14,2.3700064406920435e-33
0.00014734543096198358,5.509292863077468e-14,2.1215503174227388e-33
0.00015148189222583458,5.2829943089189085e-14,1.8991407259410673e-33
0.0001557344772926135,5.065932318670005e-14,1.7000471164383437e-33
0.00016010644613183178,4.8577307443378204e-14,1.5218251922749652e-33
0.00016460115023085497,4.658028745109476e-14,1.3622869010508218e-33
0.0001692220351641037,4.466480164591797e-14,1.219473571617702e-33
0.0001739726432343801,4.282752933385377e-14,1.0916318672334705e-33
0.0001788566161883462,4.106528495962338e-14,9.77192259631875e-34
0.0001838776980082327,3.9375012608592974e-14,8.747497597316135e-34
0.00018903973778192212,3.7753780732369e-14,7.830466684130907e-34
0.000194346692653602,3.6198777088962355e-14,7.009571355921598e-34
0.00019980263085725506,3.470730388879087e-14,6.274733380205772e-34
0.00020541173483530642,3.327677313814863e-14,5.616931061164486e-34
0.00021117830444482443,3.190470217210717e-14,5.0280884791764885e-34
0.0002171067602537265,3.058870936914464e-14,4.5009763417631165e-34
0.00022320164692952345,2.9326510040108014e-14,4.029123228678124e-34
