Frequency (Hz),White Hole Total SGWB,White Hole Polarized SGWB,Binary Black Hole Total SGWB,Binary Black Hole Polarized SGWB
9.999999999999999e-05,9.900498337491682e-14,2.9701495012475044e-14,1.7014474060626338e-15,1.701447406062634e-16
0.00010280732238308646,9.495089496834507e-14,2.848526849050352e-14,1.6700963879354874e-15,1.6700963879354876e-16
0.00010569345535579884,9.10620970298308e-14,2.7318629108949237e-14,1.6393165866114547e-15,1.6393165866114547e-16
0.00010866061138545968,8.73318606603213e-14,2.6199558198096386e-14,1.6090975369283593e-15,1.6090975369283594e-16
0.00011171106505048242,8.375373075661235e-14,2.5126119226983704e-14,1.5794289649888614e-15,1.5794289649888614e-16
0.0001148471547840289,8.032151487263765e-14,2.4096454461791295e-14,1.5503007846631483e-15,1.5503007846631483e-16
0.00011807128466661904,7.702927253388143e-14,2.3108781760164427e-14,1.5217030941556345e-15,1.5217030941556346e-16
0.00012138592626906277,7.387130498648576e-14,2.2161391495945727e-14,1.4936261726345415e-15,1.4936261726345416e-16
0.00012479362054713115,7.084214536336509e-14,2.1252643609009525e-14,1.4660604769231765e-15,1.4660604769231766e-16
0.00012829697978941474,6.793654925036893e-14,2.038096477511068e-14,1.4389966382518183e-15,1.4389966382518184e-16
0.00013189868961986705,6.514948563621401e-14,1.9544845690864205e-14,1.4124254590690668e-15,1.4124254590690668e-16
0.00013560151105656334,6.247612823057938e-14,1.8742838469173813e-14,1.3863379099116172e-15,1.3863379099116172e-16
0.00013940828262825784,5.99118471353831e-14,1.7973554140614932e-14,1.3607251263313468e-15,1.3607251263313468e-16
0.0001433219225503574,5.745220085487722e-14,1.7235660256463167e-14,1.3355784058787122e-15,1.3355784058787122e-16
0.00014734543096198358,5.509292863077468e-14,1.6527878589232402e-14,1.3108892051413963e-15,1.3108892051413963e-16
0.00015148189222583458,5.2829943089189085e-14,1.5848982926756726e-14,1.2866491368372277e-15,1.2866491368372277e-16
0.0001557344772926135,5.065932318670005e-14,1.5197796956010014e-14,1.262849966960358e-15,1.262849966960358e-16
0.00016010644613183178,4.8577307443378204e-14,1.457319223301346e-14,1.2394836119797497e-15,1.2394836119797497e-16
0.00016460115023085497,4.658028745109476e-14,1.3974086235328428e-14,1.2165421360890058e-15,1.2165421360890059e-16
0.0001692220351641037,4.466480164591797e-14,1.339944049377539e-14,1.1940177485066136e-15,1.1940177485066136e-16
0.0001739726432343801,4.282752933385377e-14,1.284825880015613e-14,1.1719028008256919e-15,1.171902800825692e-16
0.0001788566161883462,4.106528495962338e-14,1.2319585487887013e-14,1.1501897844123236e-15,1.1501897844123235e-16
0.0001838776980082327,3.9375012608592974e-14,1.1812503782577891e-14,1.12887132785161e-15,1.12887132785161e-16
0.00018903973778192212,3.7753780732369e-14,1.13261342197107e-14,1.1079401944405623e-15,1.1079401944405623e-16
0.000194346692653602,3.6198777088962355e-14,1.0859633126688706e-14,1.0873892797269962e-15,1.0873892797269962e-16
0.00019980263085725506,3.470730388879087e-14,1.041219116663726e-14,1.067211609093572e-15,1.067211609093572e-16
0.00020541173483530642,3.327677313814863e-14,9.983031941444588e-15,1.0474003353861854e-15,1.0474003353861855e-16
