Frequency (Hz),White Hole B-mode Correlation,Inflationary B-mode Correlation,Cross-Correlation (WH),Cross-Correlation (Inflation)
9.999999999999999e-05,6.448781795164106e-18,1.074796965860684e-18,3.192307672093443e-32,5.320512786822404e-33
0.00010280732238308646,6.044572215635697e-18,1.0357104740678441e-18,2.8696877078770095e-32,4.917081822041537e-33
0.00010569345535579884,5.664210293934643e-18,9.977832630463957e-19,2.5789743369182147e-32,4.543011815713604e-33
0.00010866061138545968,5.306349784357926e-18,9.609853529890574e-19,2.3170669999123622e-32,4.196231947192502e-33
0.00011171106505048242,4.9697185527087475e-18,9.252875875403938e-19,2.0811623479985486e-32,3.874814373964677e-33
0.0001148471547840289,4.653114540384805e-18,8.906616097456488e-19,1.8687260437980233e-32,3.5769644866836266e-33
0.00011807128466661904,4.355401947151445e-18,8.570798385661085e-19,1.6774672179086327e-32,3.3010118234101934e-33
0.00012138592626906277,4.0755076207899995e-18,8.245154459436974e-19,1.505315332150625e-32,3.045401598668759e-33
0.00012479362054713115,3.812417642447951e-18,7.929423343980632e-19,1.350399224060777e-32,2.8086868059096826e-33
0.00012829697978941474,3.565174097121011e-18,7.623351151401322e-19,1.2110281281760058e-32,2.5895208547501634e-33
0.00013189868961986705,3.3328720192667863e-18,7.326690866866824e-19,1.0856744887328055e-32,2.386650706959603e-33
0.00013560151105656334,3.1146565040898375e-18,7.03920213961225e-19,9.729583957186239e-33,2.1989104775769184e-33
0.00013940828262825784,2.9097199755476822e-18,6.760651078670646e-19,8.71633491908917e-33,2.0252154698048934e-33
0.0001433219225503574,2.717299602610787e-18,6.490810053191669e-19,7.80574212760365e-33,1.8645566144341204e-33
0.00014734543096198358,2.536674855765828e-18,6.229457497220725e-19,6.98764233940937e-33,1.7159952865141284e-33
0.00015148189222583458,2.3671651961841864e-18,5.9763777188186585e-19,6.252860129855985e-33,1.5786584738234373e-33
0.0001557344772926135,2.2081278903860266e-18,5.731360713408487e-19,5.593113221831595e-33,1.4517342734005815e-33
0.00016010644613183178,2.0589559436175376e-18,5.494201981243603e-19,5.0009267942740003e-33,1.3344676939944408e-33
0.00016460115023085497,1.9190761455244293e-18,5.264702348898611e-19,4.469555924953344e-33,1.2261567437807554e-33
0.0001692220351641037,1.7879472220512594e-18,5.042667794691997e-19,3.9929154013144774e-33,1.1261487840808832e-33
0.0001739726432343801,1.6650580878234684e-18,4.82790927795719e-19,3.565516204941503e-33,1.0338371311144818e-33
0.0001788566161883462,1.5499261935787895e-18,4.620242572086432e-19,3.182408040284869e-33,9.486578890265631e-34
0.0001838776980082327,1.4420959635079097e-18,4.41948810127998e-19,2.8391273372962493e-33,8.700869985571293e-34
0.00018903973778192212,1.341137317641277e-18,4.2254707809409573e-19,2.5316502111113147e-33,7.976374867733846e-34
0.000194346692653602,1.2466442746814466e-18,4.038019861664796e-19,2.256349910421242e-33,7.308569042660329e-34
0.00019980263085725506,1.1582336309281879e-18,3.85696877678005e-19,2.0099583301421132e-33,6.693249371264159e-34
0.00020541173483530642,1.0755437111785012e-18,3.682154993406329e-19,1.789531203852472e-33,6.126511818754178e-34
0.00021117830444482443,9.982331877054492e-19,3.51341986700315e-19,1.5924166276027758e-33,5.604730723114995e-34
0.0002171067602537265,9.259799636299041e-19,3.3506084993925336e-19,1.416226599456313e-33,5.124539479885203e-34
0.00022320164692952345,8.584801171977373e-19,3.1935696002464216e-19,1.2588112888116274e-33,4.682812547270521e-34
0.0002294676367231936,7.954469036630506e-19,3.042155352039035e-19,1.1182357764696096e-33,4.276648682096779e-34
0.00023590953305086364,7.366098116555815e-19,2.896221278472548e-19,9.927590308010238e-34,3.9033553231382916e-34
0.0002425322741760353,6.817136710786723e-19,2.755626116393402e-19,8.808149074792747e-34,3.5604340439850437e-34
0.00024934093699518806,6.305178097430308e-19,2.6202316912246835e-19,7.809949802800811e-34,3.2455670028595642e-34
0.0002563407409296515,5.827952560920482e-19,2.4899027959486935e-19,6.920330286092139e-34,2.9566043216912766e-34
0.00026353705192673927,5.383319855165245e-19,2.36450707368155e-19,6.127910238754818e-34,2.691552331321877e-34
0.0002709353865732052,4.9692620789131865e-19,2.243914903889856e-19,5.422464717389779e-34,2.4485626239759433e-34
0.0002785414163241769,4.583876940935982e-19,2.1279992923067398e-19,4.7948098077737526e-34,2.2259218581039257e-34
0.00028636097185081157,4.2253713938273856e-19,2.016635764611714e-19,4.2366994035719895e-34,2.0220422644110475e-34
0.00029440004751000336,3.8920556163576893e-19,1.9097022639454657e-19,3.740732015908778e-34,1.835452805342892e-34
0.0003026648059395692,3.5823373253991484e-19,1.8070790523366808e-19,3.300266653114747e-34,1.6647909435230106e-34
0.000311161582782436,3.294716399456166e-19,1.7086486161233823e-19,2.9093469010290154e-34,1.5087949776456062e-34
0.00031989689154345377,3.0277797967972375e-19,1.614295575455844e-19,2.5626324167259502e-34,1.366296907131867e-34
0.000328877428582551,2.7801967520970315e-19,1.523906597972053e-19,2.255337123262394e-34,1.236215789475507e-34
0.00033811007824806853,2.550714236358393e-19,1.437370316739331e-19,1.9831734607277194e-34,1.11755155664357e-34
0.00034760191815419775,2.3381526656998333e-19,1.354577252557688e-19,1.7423021101875891e-34,1.0093792591755206e-34
0.00035736022460657887,2.1414018453649257e-19,1.2754197407209205e-19,1.5292866626377955e-34,9.108437087468134e-35
0.0003673924781802074,1.9594171360402548e-19,1.1997918623309898e-19,1.3410527553718202e-34,8.211544919440808e-35
0.0003777063694539368,1.7912158302586346e-19,1.1275893802590137e-19,1.174851243703588e-34,7.395813298462079e-35
0.0003883098049059605,1.6358737273182517e-19,1.0587096798428948e-19,1.0282250172232108e-34,6.654497597289549e-35
0.00039921091297480534,1.4925218957664762e-19,9.930517144063704e-20,8.989791071000281e-35,5.981371168177959e-35
0.0004104180502904709,1.3603436130829652e-19,9.305159556776758e-20,7.851537647520136e-35,5.370687955129076e-35
0.0004219398080805024,1.2385714727507458e-19,8.710043491773917e-20,6.850002228040033e-35,4.81714770908371e-35
0.00043378501875589886,1.1264846494292517e-19,8.144202746348335e-20,5.969588769613231e-35,4.315863627319464e-35
0.00044596276268190954,1.0234063134404799e-19,7.606685114800413e-20,5.196396525021103e-35,3.86233225048181e-35
0.0004584823751389096,9.287011862507315e-20,7.096552094442638e-20,4.5180434178866355e-35,3.452405462022303e-35
0.0004713534534786907,8.41773229077149e-20,6.612878642857056e-20,3.9235071973950206e-35,3.0822644454010707e-35
0.00048458586448164956,7.62063457171814e-20,6.154752986391301e-20,3.402982627924365e-35,2.7483954642812737e-35
0.0004981897519205165,6.890478727379065e-20,5.721276479677622e-20,2.9477531370903016e-35,2.447567340149903e-35
0.000512175544336424,6.222355098137419e-20,5.3115635157384273e-20,2.550075497892019e-35,2.1768105103863712e-35
0.0005265539630332755,5.611665848224647e-20,4.92474148600196e-20,2.203076258325059e-35,1.9333975578093002e-35
0.0005413360302965381,5.054107468290344e-20,4.55995078929397e-20,1.9006587563687611e-35,1.7148251102017005e-35
0.0005565330778427646,4.545654218728176e-20,4.216344888596233e-20,1.6374196709040617e-35,1.518797015280874e-35
0.0005721567555063251,4.0825424605478506e-20,3.893090414073113e-20,1.4085741609965352e-35,1.3432087030763694e-35
0.0005882190401699955,3.661255823538755e-20,3.589367310564623e-20,1.2098887381087388e-35,1.1861326537380159e-35
0.0006047322449462648,3.2785111642826245e-20,3.30436902743004e-20,1.0376210991079158e-35,1.0458048944452344e-35
0.0006217090286163827,2.931245269251903e-20,3.0373027483049465e-20,8.88466223248254e-36,9.20612454356897e-36
0.0006391624053344006,2.616602260780991e-20,2.7873896580070154e-20,7.595081043871144e-36,8.09081711451732e-36
0.000657105754603627,2.3319216661301703e-20,2.553865243498355e-20,6.481765512304866e-36,7.098675696878092e-36
0.0006755528315331639,2.0747271121795106e-20,2.335979625485821e-20,5.5220854401467964e-36,6.217434091765377e-36
0.0006945177773823697,1.8427156105016726e-20,2.132997916922364e-20,4.6961368628376106e-36,5.435917560435654e-36
0.0007140151304013404,1.6337473996706184e-20,1.9442006043644458e-20,3.986433358245982e-36,4.74395622354043e-36
0.0007340598369757212,1.4458363136746587e-20,1.7688839478493296e-20,3.377630398364819e-36,4.1323046993131983e-36
0.0007546672630843886,1.277140647220339e-20,1.6063603946859962e-20,2.856279364584436e-36,3.592567551125587e-36
0.0007758532060787836,1.125954490542136e-20,1.4559590023098665e-20,2.410608182334914e-36,3.117130144773821e-36
0.0007976339067929281,9.906995080752673e-21,1.317025865139846e-20,2.030325832984112e-36,2.6990945437095393e-36
0.0008200260619934131,8.699171370077383e-21,1.1889245402017335e-20,1.7064482736119382e-36,2.332220096342427e-36
0.0008430468371788967,7.62261183305678e-21,1.0710364661501586e-20,1.4311435414696577e-36,2.010868393641667e-36
0.0008667138797389233,6.664907943045598e-21,9.62761370236636e-21,1.197594042121212e-36,1.7299522976651583e-36
0.0008910453324821513,5.814637883799594e-21,8.635176577389205e-21,9.998742207582677e-37,1.4848887624598045e-36
0.0009160598475443709,5.061303235562515e-21,7.727427783908716e-21,8.328419970687419e-37,1.2715551881055686e-36
0.000941776600686952,4.395268881811216e-21,6.89893564436218e-21,6.920425072088819e-37,1.0862490666167607e-36
0.0009682153059967086,3.807705979884071e-21,6.144465350764923e-21,5.736228435901174e-37,9.25650695055513e-37
0.0009953962309984233,3.2905378499268307e-21,5.458981622958038e-21,4.742566158919335e-37,7.867887466414959e-37
0.0010233402121916423,2.8363886470599703e-21,4.8376509332338595e-21,3.910772763487649e-37,6.670085049367911e-37
0.0010520686710236227,2.438534691412223e-21,4.27584325339843e-21,3.216192601996386e-37,5.639425794230576e-37
0.0010816036303107094,2.0908583396747426e-21,3.769133284429374e-21,2.6376608937778952e-37,4.754839330397937e-37
0.0011119677311206989,1.7878042901191026e-21,3.3133011336193174e-21,2.157046750902147e-37,3.997610635869894e-37
0.0011431842501291502,1.5243382205913866e-21,2.904332409416613e-21,1.7588513382942217e-37,3.3511519137608872e-37
0.0011752771174629451,1.2959076658555754e-21,2.538417710041457e-21,1.429855024184647e-37,2.800793152022736e-37
0.001208270935044776,1.0984050468209163e-21,2.211951488300349e-21,1.1588080168025879e-37,2.333590076665742e-37
0.0012421909954526173,9.281327696645908e-22,1.921530281769755e-21,9.361595593447282e-38,1.938148291541519e-37
