Multipole Moment (l),White Hole B-mode Anisotropy,Inflationary B-mode Spectrum
10.0,7.318024188804728e-09,0.0003605934097311309
15.991983967935873,1.145642123279657e-08,0.00011122976167025897
21.983967935871746,1.767937732835477e-08,5.008074166445375e-05
27.975951903807616,2.6893530270654997e-08,2.7348459040564864e-05
33.96793587174349,4.0326592232888185e-08,1.6795047482706397e-05
39.95991983967936,5.960711346756102e-08,1.1162248664579304e-05
45.95190380761523,8.684953893102522e-08,7.852600929144123e-06
51.943887775551104,1.2473829450082654e-07,5.766273753872495e-06
57.93587174348698,1.7660172651180123e-07,4.378462215546694e-06
63.92785571142285,2.4646369032445554e-07,3.4152634753089683e-06
69.91983967935872,3.3905785284073246e-07,2.723375858776387e-06
75.9118236472946,4.597878878960004e-07,2.2120460659424053e-06
81.90380761523046,6.146163431219154e-07,1.8250156132102284e-06
87.89579158316634,8.098666974090262e-07,1.5260392220585218e-06
93.88777555110221,1.051927565119075e-06,1.2909884654468827e-06
99.87975951903809,1.3468554541449375e-06,1.1033425113854405e-06
105.87174348697395,1.6998828860965027e-06,9.515092068334122e-07
111.86372745490982,2.1148514748296936e-06,8.271780986343861e-07
117.8557114228457,2.5936036098408974e-06,7.242770843797891e-07
123.84769539078157,3.135380046010156e-06,6.382937488860303e-07
129.83967935871743,3.7362819072648314e-06,5.658234140718691e-07
135.8316633266533,4.388862170022065e-06,5.042617645610199e-07
141.8236472945892,5.081911600777417e-06,4.5159179980318e-07
147.81563126252507,5.800495963752315e-06,4.0623360971957177e-07
153.80761523046093,6.526284622578973e-06,3.6693678156107044e-07
159.7995991983968,7.238186184966193e-06,3.3270223261194356e-07
165.79158316633269,7.913276642633596e-06,3.027246728265149e-07
171.78356713426854,8.52797278580784e-06,2.763497392649537e-07
177.77555110220442,9.0593725911489e-06,2.5304170356735355e-07
183.7675350701403,9.486659129139447e-06,2.323588923057619e-07
189.75951903807618,9.792449239433727e-06,2.1393479782728858e-07
195.75150300601203,9.963965626775467e-06,1.9746343193564932e-07
201.7434869739479,9.993922353981063e-06,1.8268787426054823e-07
207.7354709418838,9.881038236013245e-06,1.693912482854641e-07
213.72745490981964,9.630127728581117e-06,1.5738955810134524e-07
219.71943887775552,9.251760327214649e-06,1.4652596291420697e-07
225.7114228456914,8.7615220516519e-06,1.366661709547023e-07
231.70340681362728,8.178950914068048e-06,1.276947111906085e-07
237.69539078156313,7.5262476364761965e-06,1.1951189805566663e-07
243.687374749499,6.8268799281708904e-06,1.1203134681591099e-07
249.6793587174349,6.104201816816579e-06,1.0517792910245735e-07
255.67134268537075,5.380199276426254e-06,9.888608232870787e-08
261.6633266533066,4.674451932617619e-06,9.309840517863617e-08
